individual,chosen,wait_time_air,wait_time_train,wait_time_bus,wait_time_car,cost_air,cost_train,cost_bus,cost_car,in_vehicle_time_air,in_vehicle_time_train,in_vehicle_time_bus,in_vehicle_time_car,hhincome_thousands,party_size
1,car,69,34,35,0,59,31,25,10,100,372,417,180,35,1
2,car,64,44,53,0,58,31,25,11,68,354,399,255,30,2
3,car,69,34,35,0,115,98,53,23,125,892,882,720,40,1
4,car,64,44,53,0,49,26,21,5,68,354,399,180,70,3
5,car,64,44,53,0,60,32,26,8,144,404,449,600,45,2
6,train,69,40,35,0,59,20,13,12,100,345,417,284,20,1
7,air,45,34,35,0,148,111,66,36,115,945,935,821,45,1
8,car,69,34,35,0,121,52,50,50,152,889,879,780,12,1
9,car,69,34,35,0,59,31,25,17,100,372,417,210,40,1
10,car,69,34,35,0,58,31,25,7,68,357,402,210,70,2
11,car,64,44,53,0,58,16,13,4,68,357,402,210,15,2
12,car,64,44,53,0,62,34,28,6,108,370,415,250,35,2
13,car,64,44,53,0,45,24,19,5,114,378,423,240,50,4
14,car,64,44,53,0,58,31,25,15,94,360,405,285,40,1
15,car,64,44,53,0,83,70,47,17,169,948,938,1200,26,4
16,train,69,20,35,0,60,19,25,14,127,325,435,350,26,1
17,train,69,15,35,0,61,38,26,13,74,255,389,315,26,1
18,train,69,20,35,0,67,21,19,17,86,300,399,327,6,1
19,train,69,45,35,0,59,18,14,16,148,305,456,427,20,1
20,train,64,10,53,0,58,28,25,9,93,305,346,316,72,2
21,train,69,20,35,0,61,21,15,13,73,305,395,314,6,1
22,train,64,45,53,0,62,45,17,13,235,465,623,559,10,2
23,air,90,34,35,0,142,71,32,33,105,596,590,577,50,1
24,air,50,34,35,0,120,70,31,33,110,596,590,577,50,1
25,air,15,34,35,0,85,15,12,9,65,361,406,296,18,2
26,air,30,44,53,0,85,90,45,86,140,928,918,902,60,1
27,air,80,34,35,0,75,70,31,39,110,638,632,581,45,1
28,air,45,44,53,0,85,39,35,19,140,664,658,592,18,2
29,train,64,60,53,0,74,43,21,9,179,320,345,321,8,2
30,train,69,2,35,0,59,11,13,13,100,285,417,284,6,1
31,train,69,5,35,0,59,17,25,13,101,300,420,297,20,1
32,train,69,15,35,0,64,32,29,18,90,325,405,327,45,1
33,train,64,45,53,0,59,29,26,9,73,290,395,314,70,2
34,train,69,10,35,0,62,31,19,17,66,295,397,307,4,1
35,train,69,15,35,0,60,15,26,12,132,330,373,309,40,1
36,train,69,10,35,0,60,23,25,17,117,325,425,307,35,1
37,train,64,45,53,0,62,24,28,11,184,360,464,427,40,2
38,train,64,30,53,0,50,31,14,6,67,265,393,308,4,3
39,train,64,55,53,0,48,25,14,4,154,360,462,351,15,4
40,air,30,34,35,0,147,96,57,28,100,678,672,629,26,1
41,air,75,34,35,0,125,70,31,24,110,596,590,577,26,1
42,air,40,34,35,0,152,73,34,24,95,600,594,587,70,1
43,air,30,34,35,0,116,71,32,29,180,657,651,629,70,1
44,air,40,44,53,0,100,70,31,17,105,622,616,577,45,2
45,air,45,44,53,0,105,35,31,12,115,622,616,577,8,2
46,air,20,34,35,0,106,72,33,44,190,659,653,592,70,1
47,air,60,44,53,0,90,69,30,13,100,596,590,577,26,2
48,air,40,34,35,0,48,31,25,16,115,365,410,308,50,1
49,air,50,44,53,0,69,16,13,4,85,344,389,315,10,3
50,air,75,34,35,0,99,96,57,29,135,678,672,629,30,1
51,air,90,44,53,0,64,74,35,20,155,678,672,629,60,2
52,air,85,44,53,0,105,56,35,8,85,665,659,587,30,4
53,train,69,15,35,0,60,24,25,13,123,365,430,332,30,1
54,train,64,30,53,0,58,22,25,9,90,340,417,334,50,2
55,train,64,15,53,0,45,22,13,5,73,290,395,314,6,4
56,train,69,30,35,0,108,31,44,50,170,875,887,884,30,1
57,train,69,45,35,0,110,22,47,38,249,890,955,990,12,1
58,train,64,10,53,0,115,44,50,18,138,830,869,862,36,2
59,train,69,40,35,0,117,59,48,38,147,790,885,883,30,1
60,train,64,50,53,0,88,78,43,16,119,775,840,855,35,3
61,train,69,40,35,0,105,43,44,50,196,895,919,935,6,1
62,train,64,25,53,0,120,28,52,38,333,870,890,921,6,1
63,train,64,25,53,0,103,36,43,19,146,875,943,887,8,2
64,train,69,5,35,0,103,22,43,36,138,800,821,846,6,1
