"HOUSEID","PERSONID","TDTRPNUM","STRTTIME","ENDTIME","TRVLCMIN","TRPMILES","TRPTRANS","TRPACCMP","TRPHHACC","VEHID","TRWAITTM","NUMTRANS","TRACCTM","DROP_PRK","TREGRTM","WHODROVE","WHYFROM","LOOP_TRIP","TRPHHVEH","HHMEMDRV","HH_ONTD","NONHHCNT","NUMONTRP","PSGR_FLG","PUBTRANS","TRIPPURP","DWELTIME","TDWKND","VMT_MILE","DRVR_FLG","WHYTRP1S","ONTD_P1","ONTD_P2","ONTD_P3","ONTD_P4","ONTD_P5","ONTD_P6","ONTD_P7","ONTD_P8","ONTD_P9","ONTD_P10","ONTD_P11","ONTD_P12","ONTD_P13","TDCASEID","TRACC_WLK","TRACC_POV","TRACC_BUS","TRACC_CRL","TRACC_SUB","TRACC_OTH","TREGR_WLK","TREGR_POV","TREGR_BUS","TREGR_CRL","TREGR_SUB","TREGR_OTH","WHYTO","TRAVDAY","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","DRVRCNT","HHSTATE","HHSTFIPS","NUMADLT","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","GASPRICE","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","SMPLSRCE","R_AGE","EDUC","R_SEX","PRMACT","PROXY","WORKER","DRIVER","WTTRDFIN","WHYTRP90","TRPMILAD","R_AGE_IMP","R_SEX_IMP","VEHTYPE","OBHUR","DBHUR","OTHTNRNT","OTPPOPDN","OTRESDN","OTEEMPDN","OBHTNRNT","OBPPOPDN","OBRESDN","DTHTNRNT","DTPPOPDN","DTRESDN","DTEEMPDN","DBHTNRNT","DBPPOPDN","DBRESDN"
"30000007","01","01","1000","1015",15,5.244,"03",0,0,"03",-1,-1,-1,"-1",-1,"01","01","02","01","01",1,0,1,"02","02","HBO",295,"02",5.244,"01","20","01","02","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000070101","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","19","02","01",3,5,"07",3,"NC","37",3,1,"201608","01","10","03","01","02","01","01","01","228.4","05","03","53","02","02","XXXXX","02",67,"03","02","06","01","02","01",75441.9057964227,"05",5.8475844,67,"02","01","T","T","50","1500","750","750","20","750","300","50","750","300","350","30","300","300"
"30000007","01","02","1510","1530",20,5.149,"03",0,0,"03",-1,-1,-1,"-1",-1,"01","19","02","01","01",1,0,1,"02","02","HBO",-9,"02",5.149,"01","01","01","02","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000070102","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","01",3,5,"07",3,"NC","37",3,1,"201608","01","10","03","01","02","01","01","01","228.4","05","03","53","02","02","XXXXX","02",67,"03","02","06","01","02","01",75441.9057964227,"05",5.7416499,67,"02","01","T","T","50","750","300","350","30","300","300","50","1500","750","750","20","750","300"
"30000007","02","01","0700","0900",120,84.004,"06",0,0,"05",-1,-1,-1,"-1",-1,"02","03","02","01","01",1,0,1,"02","02","HBW",540,"02",84.004,"01","01","02","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000070201","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","01",3,5,"07",3,"NC","37",3,1,"201608","01","10","03","01","02","01","01","01","228.4","05","03","53","02","02","XXXXX","02",66,"03","01","01","02","01","01",71932.6458064544,"01",90.178294,66,"01","04","S","T","40","1500","750","750","40","1500","750","50","1500","750","750","20","750","300"
"30000007","02","02","1800","2030",150,81.628,"06",0,0,"05",-1,-1,-1,"-1",-1,"02","01","02","01","01",1,0,1,"02","02","HBW",-9,"02",81.628,"01","10","02","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000070202","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","03","02","01",3,5,"07",3,"NC","37",3,1,"201608","01","10","03","01","02","01","01","01","228.4","05","03","53","02","02","XXXXX","02",66,"03","01","01","02","01","01",71932.6458064544,"01",87.627658,66,"01","04","T","S","50","1500","750","750","20","750","300","40","1500","750","750","40","1500","750"
"30000007","03","01","0845","0900",15,2.25,"03",0,0,"01",-1,-1,-1,"-1",-1,"03","01","02","01","01",1,0,1,"02","02","HBO",330,"02",2.25,"01","20","02","02","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000070301","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","08","02","01",3,5,"07",3,"NC","37",3,1,"201608","01","10","03","01","02","01","01","01","228.4","05","03","53","02","02","XXXXX","02",28,"02","02","05","02","02","01",80122.6867388665,"05",2.508975,28,"02","01","T","T","50","1500","750","750","20","750","300","50","750","300","350","60","750","300"
"30000007","03","02","1430","1445",15,2.243,"03",0,0,"01",-1,-1,-1,"-1",-1,"03","08","02","01","01",1,0,1,"02","02","HBO",-9,"02",2.243,"01","01","02","02","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000070302","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","01",3,5,"07",3,"NC","37",3,1,"201608","01","10","03","01","02","01","01","01","228.4","05","03","53","02","02","XXXXX","02",28,"02","02","05","02","02","01",80122.6867388665,"05",2.5011693,28,"02","01","T","T","50","750","300","350","60","750","300","50","1500","750","750","20","750","300"
"30000008","01","01","1115","1130",15,8.017,"06",0,0,"04",-1,-1,-1,"-1",-1,"01","01","02","01","01",1,0,1,"02","02","HBW",720,"02",8.017,"01","10","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000080101","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","03","05","01",2,4,"08",2,"WI","55",2,2,"201608","02","02","02","05","02","04","06","02","225.9","03","02","32","01","02","33460","02",55,"05","01","01","01","01","01",23062.8574281227,"01",8.6062495,55,"01","04","R","T","05","300","300","150","05","300","300","30","300","300","150","40","1500","750"
"30000008","01","02","2330","2340",10,8.017,"06",0,0,"04",-1,-1,-1,"-1",-1,"01","03","02","01","01",1,0,1,"02","02","HBW",-9,"02",8.017,"01","01","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000080102","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","05","01",2,4,"08",2,"WI","55",2,2,"201608","02","02","02","05","02","04","06","02","225.9","03","02","32","01","02","33460","02",55,"05","01","01","01","01","01",23062.8574281227,"01",8.6062495,55,"01","04","T","R","30","300","300","150","40","1500","750","05","300","300","150","05","300","300"
"30000012","01","01","0550","0605",15,3.395,"04",0,0,"02",-1,-1,-1,"-1",-1,"01","01","02","01","01",1,0,1,"02","02","HBSOCREC",55,"02",3.395,"01","50","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000120101","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","05","01",1,2,"10",1,"NY","36",1,1,"201607","01","01","03","03","02","01","03","01","233.8","02","01","23","01","02","XXXXX","02",45,"05","02","01","01","01","01",21522.6905132127,"10",3.7857645,45,"02","03","C","S","80","17000","17000","5000","60","17000","7000","30","750","300","350","05","750","300"
"30000012","01","02","0700","0715",15,3.395,"04",0,0,"02",-1,-1,-1,"-1",-1,"01","16","02","01","01",1,0,1,"02","02","HBSOCREC",15,"02",3.395,"01","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300000120102","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","05","01",1,2,"10",1,"NY","36",1,1,"201607","01","01","03","03","02","01","03","01","233.8","02","01","23","01","02","XXXXX","02",45,"05","02","01","01","01","01",21522.6905132127,"10",3.7857645,45,"02","03","S","C","30","750","300","350","05","750","300","80","17000","17000","5000","60","17000","7000"
