id,carpool,cars_per_driver,hhsize,commute,social
239159,FALSE,1,3,FALSE,FALSE
573249,FALSE,1,2,TRUE,FALSE
710944,FALSE,3,2,TRUE,FALSE
483245,FALSE,1.5,2,TRUE,FALSE
119949,TRUE,1,1,FALSE,FALSE
385996,FALSE,1,2,TRUE,FALSE
234855,TRUE,1,3,FALSE,FALSE
495582,TRUE,0.5,4,FALSE,FALSE
166380,FALSE,1,4,FALSE,FALSE
723963,FALSE,1,1,FALSE,FALSE
190905,FALSE,1,2,FALSE,FALSE
714339,FALSE,1,1,FALSE,FALSE
725913,TRUE,0.5,5,FALSE,FALSE
345994,TRUE,1,3,FALSE,FALSE
58463,TRUE,1.3333333333333333,3,FALSE,FALSE
679035,FALSE,1.3333333333333333,3,FALSE,FALSE
5840,TRUE,2.5,2,FALSE,FALSE
164091,FALSE,1,2,FALSE,TRUE
47532,FALSE,1,1,TRUE,FALSE
276555,FALSE,1,1,FALSE,FALSE
23890,FALSE,1,4,FALSE,FALSE
282885,FALSE,1,2,TRUE,FALSE
12738,TRUE,1,2,FALSE,FALSE
496830,TRUE,1.75,4,FALSE,FALSE
314123,FALSE,1,5,FALSE,FALSE
237344,TRUE,2.5,4,FALSE,FALSE
412949,TRUE,2,2,FALSE,TRUE
940,TRUE,1,4,FALSE,TRUE
568367,FALSE,1,2,FALSE,FALSE
740234,FALSE,2.5,2,TRUE,FALSE
41992,FALSE,1.5,2,FALSE,FALSE
151076,TRUE,1,2,FALSE,FALSE
311391,FALSE,1,2,FALSE,FALSE
287796,FALSE,1,4,FALSE,FALSE
3861,TRUE,1,4,FALSE,FALSE
27789,TRUE,3.5,2,FALSE,FALSE
279603,FALSE,1,1,FALSE,TRUE
751923,FALSE,1.3333333333333333,3,FALSE,FALSE
377161,FALSE,1.3333333333333333,4,FALSE,FALSE
86705,FALSE,1.5,2,TRUE,FALSE
458744,TRUE,1,2,FALSE,FALSE
740134,TRUE,1,2,FALSE,FALSE
779901,TRUE,1.5,4,FALSE,FALSE
100770,TRUE,1,5,FALSE,FALSE
462616,TRUE,1,2,FALSE,FALSE
262094,TRUE,1.3333333333333333,3,FALSE,FALSE
704713,TRUE,1,3,FALSE,FALSE
671719,TRUE,1.5,2,FALSE,FALSE
204075,TRUE,1.6666666666666667,5,FALSE,TRUE
178686,TRUE,1.5,2,FALSE,FALSE
51175,TRUE,1,4,FALSE,TRUE
386444,TRUE,1,1,FALSE,TRUE
105586,FALSE,0.6666666666666666,3,FALSE,TRUE
170599,TRUE,1,4,FALSE,FALSE
599937,FALSE,0.5,2,FALSE,FALSE
517417,FALSE,1.3333333333333333,4,FALSE,FALSE
697260,FALSE,1,2,TRUE,FALSE
474712,FALSE,1,2,FALSE,FALSE
435332,FALSE,2.5,2,FALSE,TRUE
673220,FALSE,0.5,2,FALSE,TRUE
207008,FALSE,1,4,FALSE,FALSE
110596,TRUE,1,4,FALSE,TRUE
516576,TRUE,1,5,FALSE,FALSE
63812,TRUE,1.3333333333333333,4,FALSE,FALSE
322798,TRUE,1.3333333333333333,5,TRUE,FALSE
118248,TRUE,1,1,FALSE,FALSE
319515,FALSE,1,2,FALSE,FALSE
466217,FALSE,1,2,FALSE,FALSE
479111,FALSE,1,3,TRUE,FALSE
598499,FALSE,1,1,FALSE,FALSE
8674,TRUE,1.5,2,FALSE,FALSE
237299,FALSE,1.5,2,TRUE,FALSE
593650,TRUE,1,3,FALSE,TRUE
182791,TRUE,1.5,5,FALSE,FALSE
7530,FALSE,1,3,FALSE,FALSE
421338,FALSE,1,2,FALSE,FALSE
601664,TRUE,1,1,FALSE,TRUE
455127,TRUE,1,4,FALSE,FALSE
631807,TRUE,0,2,FALSE,TRUE
199228,TRUE,1,2,FALSE,TRUE
711946,TRUE,1,3,FALSE,FALSE
299554,FALSE,1,2,FALSE,FALSE
337860,TRUE,1,6,FALSE,FALSE
161904,TRUE,2.5,3,FALSE,TRUE
638817,FALSE,1,3,FALSE,FALSE
519431,FALSE,1,2,FALSE,FALSE
619956,TRUE,1,4,FALSE,FALSE
122577,FALSE,1,2,FALSE,FALSE
212193,FALSE,1,2,FALSE,FALSE
338719,FALSE,1,2,FALSE,FALSE
547535,FALSE,1.5,2,FALSE,FALSE
705836,FALSE,1,1,TRUE,FALSE
152866,TRUE,0.6666666666666666,4,FALSE,FALSE
343519,TRUE,1,2,FALSE,FALSE
250328,TRUE,1.5,3,FALSE,FALSE
731119,FALSE,1,2,FALSE,FALSE
647067,TRUE,1.5,3,FALSE,FALSE
369933,FALSE,1,2,FALSE,FALSE
753262,FALSE,1,4,TRUE,FALSE
669932,TRUE,1,2,FALSE,FALSE
719539,TRUE,0.5,2,FALSE,FALSE
207046,FALSE,1.6666666666666667,4,FALSE,FALSE
79583,FALSE,4,1,FALSE,FALSE
620382,FALSE,0.5,3,FALSE,FALSE
127196,TRUE,1,2,FALSE,TRUE
708128,TRUE,1,4,FALSE,FALSE
536430,FALSE,1,2,FALSE,FALSE
394225,TRUE,1,2,FALSE,FALSE
613138,FALSE,1,2,TRUE,FALSE
378547,TRUE,1,4,TRUE,FALSE
780496,TRUE,1,2,FALSE,TRUE
326273,TRUE,0.5,2,TRUE,FALSE
212985,FALSE,1.3333333333333333,4,TRUE,FALSE
277717,FALSE,1,2,FALSE,FALSE
350625,TRUE,1,3,FALSE,FALSE
492790,TRUE,1,2,TRUE,FALSE
693379,TRUE,1,5,FALSE,FALSE
658287,TRUE,1,2,FALSE,FALSE
531749,TRUE,1,2,FALSE,FALSE
347474,TRUE,1,2,FALSE,FALSE
577165,TRUE,1.5,2,FALSE,FALSE
644305,TRUE,1.5,4,FALSE,FALSE
283285,TRUE,1,2,FALSE,TRUE
345478,TRUE,2,3,FALSE,FALSE
245450,TRUE,1,2,FALSE,FALSE
253266,TRUE,1,4,FALSE,TRUE
265683,TRUE,2,2,FALSE,TRUE
297595,TRUE,1,2,FALSE,FALSE
534285,TRUE,1,5,FALSE,TRUE
162533,TRUE,1,2,FALSE,FALSE
306434,TRUE,1,2,FALSE,FALSE
136030,FALSE,1,2,FALSE,FALSE
310469,TRUE,0.6666666666666666,4,FALSE,FALSE
75801,TRUE,1.5,2,FALSE,FALSE
512781,TRUE,3,2,FALSE,FALSE
371521,FALSE,1.6666666666666667,4,TRUE,FALSE
522016,TRUE,1,1,FALSE,FALSE
753070,TRUE,1.5,2,FALSE,FALSE
361910,TRUE,1,4,FALSE,TRUE
133077,FALSE,1,3,FALSE,FALSE
393056,TRUE,2,2,FALSE,FALSE
450159,TRUE,4.5,2,FALSE,FALSE
218880,FALSE,1,4,TRUE,FALSE
152822,FALSE,1,3,TRUE,FALSE
103526,TRUE,1,4,FALSE,TRUE
688063,FALSE,1,3,TRUE,FALSE
438412,FALSE,1,2,FALSE,FALSE
83406,FALSE,1,5,TRUE,FALSE
234607,TRUE,1,2,FALSE,FALSE
404830,FALSE,2,2,FALSE,TRUE
387628,FALSE,1.5,2,TRUE,FALSE
10271,FALSE,0.5,2,TRUE,FALSE
519673,TRUE,1,1,FALSE,FALSE
387319,FALSE,1,2,FALSE,FALSE
380114,FALSE,1,2,FALSE,TRUE
19137,TRUE,1,2,FALSE,FALSE
104373,TRUE,2,2,FALSE,FALSE
733442,TRUE,2,2,FALSE,FALSE
341747,TRUE,1.5,4,FALSE,FALSE
427091,TRUE,0.6666666666666666,5,FALSE,FALSE
78100,FALSE,1,4,FALSE,FALSE
123462,TRUE,1,4,FALSE,FALSE
89103,FALSE,1,3,FALSE,FALSE
318515,TRUE,1,2,FALSE,TRUE
349700,TRUE,1,1,FALSE,FALSE
335044,TRUE,1,4,FALSE,TRUE
520314,TRUE,1,4,FALSE,TRUE
734015,FALSE,1.3333333333333333,3,FALSE,FALSE
756312,TRUE,1,4,FALSE,FALSE
157765,FALSE,2,2,FALSE,FALSE
133860,FALSE,1,2,FALSE,FALSE
741860,TRUE,1,2,FALSE,TRUE
485530,TRUE,1.3333333333333333,3,TRUE,FALSE
276416,FALSE,1,4,FALSE,FALSE
217711,TRUE,1.5,2,FALSE,TRUE
763251,TRUE,1,4,FALSE,FALSE
264671,TRUE,1.5,5,FALSE,FALSE
292309,FALSE,1,2,FALSE,FALSE
181617,FALSE,2,2,FALSE,FALSE
101181,TRUE,1,2,FALSE,FALSE
452085,TRUE,1,2,FALSE,FALSE
414171,TRUE,1,4,FALSE,FALSE
377513,FALSE,1,2,FALSE,FALSE
171758,FALSE,5,1,FALSE,FALSE
